Company,EE Tier,Program Tier
Rebel Foods,4,3
Yubi (CredAvenue),4,4
Fanatics,4,1
Infra.Market,5,3
Open,5,3
PhysicsWallah,5,4
Purplle,5,5
LeadSquared,5,4
BigBasket,5,5
MobilKwik,5,4
Upstox,5,5
DarwinBox,5,4
Oxyzo,5,5
DealShare,5,3
Spinny,5,4
Tredence,5,4
CoinSwitch Kuber,5,5
Zycus,5,3
Viacom18,5,4
Intuit,5,1
Optum,6,1
Policybazaar,6,3
CoinDCX,6,4
OLA,6,5
Ola Electric,6,1
Cars24,6,4
OYO Rooms,6,5
Verse Innovation,6,4
MyGlamm,6,5
LEAD School,6,4
Billdesk,6,6
Nagarro,6,4
Talentica,6,5
Thoughtworks,6,4
GS Labs,6,5
Zemoso,6,5
Digital Autosys,6,5
VulcanForms,6,5
3i Infotech,7,3
Accenture,7,2
Accolite Digital,7,4
Altimetrick,7,4
Amdocs,7,5
Atos,7,6
Birlasoft,7,4
Capgemini,7,2
Coforge,7,1
Cognizant,7,1
Cyient,7,1
Datamatics,7,3
Deloitte,7,1
Eclerx,7,1
EY,7,1
FirstSource,7,3
Fractal,7,4
Genpact,7,3
Globant,7,4
Happiest Minds,7,3
HCL Technologies,7,1
Hexaware Technologies,7,1
Infosys,7,1
Intellect Design,7,4
ITC Infotech,7,3
KPIT,7,4
KPMG,7,1
L&T Technology/Services,7,5
Leidos,7,1
Majesco,7,4
Mastek,7,3
MphasiS,7,4
Mu Sigma,7,3
Ness,7,5
Persistent Systems,7,6
Publicis Sapient,7,6
PWC,7,2
Quess Corp,7,5
Quest Global,7,6
Robosoft Tech,7,2
Rolta,7,3
R Systems,7,4
Sasken,7,3
Sonata Software,7,5
Sutherland,7,3
Synechrom,7,5
Tavan,7,3
TCS,7,2
Tech Mahindra,7,1
Tiger Analytics,7,5
Trigent,7,3
Trigyn Technologies,7,2
UST Global,7,5
Wipro,7,4
WNS Global,7,3
Xoriant,7,2
Zensar Technologies,7,4
Droom ,8,2
BlackBuck,8,4
Highradius,8,6
Blinkit,8,6
Delhivery,8,4
Nykaa,8,2
Pine Labs,8,4
upGrad,8,5
BYJU's,8,3
Moglix,8,2
Zetwerk,8,5
OfBusiness,8,2
Five Star Business Finance,8,5
Eruditus,8,3
Digit Insurance ,8,5
FirstCry,8,2
Mamaearth,8,5
NoBroker,8,2
Zenoti,8,4
ShipRocket,8,5
Pristyn Care,8,6
